Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,361.07,359.0,340.56,196.77,133.46,90.18,71.73,59.8,47.67,44.89,0.0375,25900,100,0.98
1,361.0,358.87,340.36,196.61,133.38,90.16,71.77,59.87,47.69,44.86,0.0375,25900,100,0.98
2,360.93,358.72,340.15,196.53,133.32,90.17,71.9,60.17,47.79,44.83,0.0375,25900,100,0.98
3,360.85,358.56,339.93,196.52,133.28,90.19,72.06,60.42,47.98,44.83,0.0375,25900,100,0.98
4,360.77,358.38,339.75,196.56,133.28,90.27,72.29,60.83,48.21,44.84,0.0375,25900,100,0.98
5,360.66,358.19,339.62,196.6,133.34,90.36,72.52,61.21,48.46,44.87,0.0375,25900,100,0.98
6,360.56,358.1,339.51,196.64,133.42,90.47,72.79,61.56,48.74,44.92,0.0375,25900,100,0.98
7,360.47,358.1,339.42,196.65,133.51,90.58,73.03,61.78,48.99,44.99,0.0375,25900,100,0.98
8,360.4,358.12,339.23,196.74,133.69,90.72,73.36,62.04,49.33,45.11,0.0375,25900,100,0.98
9,360.33,358.13,339.08,196.87,133.91,90.85,73.67,62.25,49.62,45.24,0.0375,25900,100,0.98
10,360.28,358.14,339.11,196.95,134.05,90.99,73.83,62.32,49.76,45.33,0.0375,25900,100,0.98
11,360.24,358.15,339.19,196.91,134.18,91.1,73.96,62.39,49.89,45.43,0.0375,25900,100,0.98
12,360.2,358.16,339.28,196.9,134.32,91.17,74.1,62.49,50.01,45.53,0.0375,25900,100,0.98
13,360.16,358.18,339.33,196.9,134.43,91.3,74.25,62.62,50.13,45.64,0.0375,25900,100,0.98
14,360.12,358.18,339.32,196.89,134.54,91.42,74.39,62.75,50.25,45.73,0.0375,25900,100,0.98
15,360.1,358.21,339.27,196.89,134.66,91.57,74.54,62.93,50.38,45.84,0.0375,25900,100,0.98
16,360.06,358.22,339.21,196.91,134.8,91.71,74.71,63.12,50.52,45.97,0.0375,25900,100,0.98
17,360.03,358.29,339.22,196.93,135.02,91.8,74.94,63.21,50.74,46.16,0.0375,25900,100,0.98
18,360.01,358.36,339.25,197.06,135.23,91.96,75.24,63.44,51.0,46.36,0.0375,25900,100,0.98
19,360.0,358.41,339.29,197.16,135.37,92.12,75.47,63.74,51.18,46.5,0.0375,25900,100,0.98
20,359.99,358.45,339.32,197.23,135.5,92.31,75.71,64.03,51.39,46.66,0.0375,25900,100,0.98
21,359.97,358.5,339.41,197.28,135.62,92.5,75.95,64.33,51.6,46.82,0.0375,25900,100,0.98
22,359.95,358.55,339.5,197.28,135.74,92.71,76.19,64.51,51.8,46.99,0.0375,25900,100,0.98
23,359.92,358.59,339.59,197.27,135.85,92.9,76.4,64.66,51.97,47.17,0.0375,25900,100,0.98
24,359.91,358.64,339.7,197.2,135.97,93.08,76.64,64.82,52.12,47.35,0.0375,25900,100,0.98
25,359.89,358.67,339.85,197.11,136.06,93.24,76.8,64.95,52.3,47.54,0.0375,25900,100,0.98
26,359.85,358.74,340.07,197.08,136.2,93.34,77.04,65.06,52.52,47.81,0.0375,25900,100,0.98
27,359.81,358.8,340.26,197.02,136.35,93.51,77.27,65.25,52.79,48.09,0.0375,25900,100,0.98
28,359.79,358.85,340.4,197.03,136.49,93.68,77.41,65.42,52.94,48.28,0.0375,25900,100,0.98
