Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,366.88,371.26,353.66,190.8,118.87,77.99,62.39,53.27,43.21,22.82,40.04
1,366.86,371.24,353.67,190.88,118.88,77.98,62.43,53.28,43.23,22.85,40.05
2,366.85,371.25,353.69,191.02,118.9,77.99,62.5,53.29,43.23,22.99,40.05
3,366.83,371.24,353.74,191.14,118.95,78.01,62.57,53.39,43.25,22.84,40.05
4,366.79,371.23,353.8,191.14,119.01,78.03,62.65,53.44,43.3,22.75,40.07
5,366.76,371.24,353.82,191.19,119.06,78.04,62.67,53.43,43.35,22.79,40.08
6,366.73,371.23,353.84,191.22,119.06,78.04,62.65,53.38,43.37,22.76,40.08
7,366.72,371.24,353.87,191.21,119.07,78.03,62.63,53.36,43.41,22.68,40.1
8,366.67,371.23,353.89,191.36,119.11,78.01,62.63,53.32,43.45,22.91,40.11
9,366.66,371.24,353.94,191.65,119.19,78.01,62.66,53.35,43.47,22.77,40.14
10,366.63,371.24,354.09,191.91,119.29,78.04,62.68,53.4,43.48,22.82,40.15
11,366.62,371.26,354.27,192.0,119.4,78.06,62.74,53.43,43.49,22.72,40.17
12,366.59,371.27,354.45,191.93,119.46,78.11,62.77,53.5,43.48,22.79,40.18
13,366.57,371.32,354.68,191.81,119.55,78.15,62.84,53.52,43.48,22.72,40.18
14,366.54,371.36,354.8,191.72,119.6,78.18,62.86,53.44,43.46,22.64,40.18
15,366.51,371.37,354.89,191.77,119.64,78.19,62.89,53.43,43.47,22.72,40.19
16,366.49,371.38,354.95,192.0,119.68,78.21,62.9,53.46,43.47,22.59,40.18
17,366.46,371.4,354.98,192.29,119.76,78.22,62.9,53.47,43.49,22.47,40.19
18,366.45,371.42,355.08,192.51,119.87,78.23,62.92,53.48,43.52,22.43,40.21
19,366.42,371.45,355.22,192.78,119.98,78.27,62.95,53.53,43.55,22.73,40.22
20,366.4,371.48,355.26,192.85,120.05,78.29,62.95,53.56,43.58,22.72,40.24
21,366.38,371.5,355.19,192.83,120.1,78.3,62.95,53.56,43.59,22.72,40.27
22,366.35,371.53,355.15,192.77,120.13,78.32,62.92,53.51,43.58,22.81,40.29
23,366.31,371.54,355.16,192.72,120.15,78.32,62.87,53.44,43.52,22.85,40.31
24,366.3,371.57,355.21,192.79,120.17,78.31,62.88,53.39,43.5,22.83,40.32
25,366.29,371.57,355.23,192.88,120.2,78.31,62.86,53.41,43.5,22.84,40.32
26,366.28,371.6,355.27,192.98,120.27,78.33,62.88,53.48,43.53,22.83,40.34
27,366.26,371.61,355.3,193.07,120.35,78.35,62.94,53.59,43.55,22.65,40.34
28,366.24,371.62,355.35,193.21,120.43,78.39,62.98,53.66,43.57,22.74,40.35
29,366.22,371.64,355.39,193.28,120.51,78.43,63.03,53.75,43.57,22.72,40.36
30,366.2,371.66,355.39,193.32,120.6,78.45,63.1,53.79,43.58,22.61,40.36
31,366.18,371.68,355.36,193.44,120.75,78.49,63.19,53.83,43.57,22.64,40.37
32,366.15,371.7,355.37,193.65,120.92,78.53,63.28,53.9,43.55,22.61,40.36
33,366.14,371.71,355.46,193.77,121.02,78.57,63.32,53.88,43.54,22.68,40.37
34,366.12,371.73,355.53,193.88,121.12,78.59,63.35,53.78,43.53,22.69,40.37
35,366.11,371.74,355.6,194.14,121.21,78.63,63.34,53.7,43.49,22.73,40.37
36,366.09,371.74,355.74,194.36,121.3,78.66,63.32,53.68,43.46,22.68,40.35
37,366.06,371.75,355.86,194.43,121.37,78.67,63.28,53.65,43.45,22.75,40.36
38,366.05,371.77,355.95,194.42,121.44,78.68,63.24,53.56,43.44,22.82,40.35
39,366.04,371.79,356.01,194.45,121.48,78.68,63.18,53.49,43.41,22.79,40.34
40,366.01,371.83,356.16,194.52,121.51,78.67,63.09,53.41,43.41,22.71,40.34
41,365.98,371.86,356.46,194.56,121.52,78.64,62.99,53.3,43.41,22.76,40.34
42,365.96,371.87,356.62,194.71,121.51,78.62,62.91,53.21,43.42,22.73,40.35
43,365.95,371.89,356.76,194.74,121.5,78.59,62.83,53.12,43.43,22.75,40.36
44,365.92,371.9,356.85,194.78,121.5,78.56,62.78,53.04,43.42,22.74,40.36
45,365.91,371.92,356.94,194.81,121.51,78.53,62.73,52.97,43.37,22.81,40.37
46,365.9,371.94,357.01,194.83,121.51,78.51,62.68,52.92,43.33,22.86,40.37
47,365.88,371.97,357.11,194.83,121.52,78.49,62.62,52.88,43.3,22.93,40.36
48,365.86,372.0,357.19,194.81,121.51,78.48,62.55,52.94,43.28,22.96,40.36
49,365.84,372.03,357.36,194.74,121.53,78.49,62.52,52.97,43.28,23.04,40.36
50,365.83,372.06,357.48,194.68,121.56,78.51,62.54,52.92,43.27,22.89,40.35
51,365.79,372.07,357.5,194.66,121.56,78.5,62.52,52.87,43.25,22.89,40.34
52,365.78,372.09,357.54,194.59,121.55,78.51,62.49,52.86,43.24,22.87,40.34
53,365.76,372.12,357.59,194.51,121.52,78.52,62.45,52.86,43.23,22.76,40.33
54,365.74,372.14,357.62,194.36,121.5,78.49,62.37,52.75,43.17,22.84,40.33
55,365.73,372.16,357.65,194.18,121.46,78.47,62.3,52.67,43.13,22.93,40.31
56,365.71,372.19,357.6,194.01,121.41,78.43,62.24,52.59,43.09,22.83,40.3
57,365.71,372.21,357.63,193.9,121.36,78.41,62.22,52.55,43.05,22.73,40.27
58,365.68,372.25,357.65,193.82,121.35,78.43,62.24,52.62,42.97,22.79,40.23
59,365.67,372.27,357.64,193.64,121.35,78.44,62.28,52.64,42.92,22.84,40.2
60,365.67,372.28,357.7,193.61,121.35,78.46,62.31,52.6,42.85,22.92,40.19
61,365.73,372.29,357.79,193.58,121.37,78.48,62.33,52.6,42.82,23.01,40.15
62,365.62,372.27,357.92,193.5,121.38,78.5,62.35,52.57,42.76,23.13,40.13
63,365.65,372.25,358.07,193.41,121.38,78.47,62.37,52.5,42.72,22.93,40.1
64,365.55,372.23,358.19,193.42,121.37,78.5,62.35,52.38,42.68,22.78,40.07
65,365.51,372.24,358.13,193.36,121.35,78.48,62.29,52.27,42.59,22.96,40.03
66,365.5,372.31,358.03,193.3,121.34,78.47,62.19,52.13,42.49,22.88,40.0
67,365.5,372.35,357.57,193.25,121.32,78.43,62.1,51.96,42.34,22.81,40.08
68,365.51,372.39,357.01,193.26,121.31,78.4,61.93,51.83,42.15,22.81,39.87
69,365.51,372.38,356.64,193.34,121.3,78.38,61.87,51.68,42.05,22.75,39.82
70,365.51,372.36,356.24,193.4,121.31,78.34,61.82,51.55,41.93,22.79,39.75
71,365.5,372.33,356.04,193.41,121.28,78.31,61.75,51.4,41.81,22.85,39.68
72,365.49,372.29,355.9,193.3,121.26,78.29,61.64,51.31,41.7,22.9,39.63
73,365.5,372.21,355.76,193.26,121.22,78.25,61.57,51.19,41.58,22.92,39.55
74,365.49,372.13,355.49,193.27,121.22,78.2,61.47,51.07,41.48,22.8,39.55
75,365.49,372.04,355.14,193.33,121.22,78.16,61.38,50.95,41.39,22.84,39.43
76,365.48,371.91,354.66,193.35,121.2,78.11,61.23,50.81,41.23,22.72,39.34
77,365.48,371.72,354.27,193.26,121.18,78.07,61.1,50.66,41.08,22.75,39.23
78,365.44,371.61,353.97,193.22,121.16,78.01,61.01,50.57,40.99,22.77,39.15
79,365.41,371.49,353.75,193.13,121.15,77.97,60.96,50.54,40.91,22.82,39.09
80,365.4,371.43,353.85,192.93,121.1,77.93,60.87,50.5,40.83,23.0,39.01
81,365.42,371.47,353.79,192.77,121.04,77.89,60.83,50.46,40.74,22.97,38.95
82,365.49,371.49,353.86,192.46,120.98,77.83,60.77,50.35,40.65,23.01,38.87
83,365.74,371.34,353.91,192.2,120.91,77.77,60.68,50.23,40.57,23.13,38.8
84,366.29,371.1,353.84,192.03,120.87,77.72,60.59,50.1,40.48,23.07,38.73
85,367.3,370.79,353.58,191.84,120.8,77.67,60.49,49.98,40.34,22.89,38.62
86,368.18,370.51,353.35,191.69,120.71,77.59,60.37,49.86,40.2,22.87,38.51
87,368.64,370.34,353.2,191.55,120.65,77.54,60.27,49.75,40.1,23.05,38.42
88,368.96,370.16,352.96,191.45,120.58,77.51,60.16,49.7,40.05,23.01,38.35
89,369.15,370.01,352.67,191.25,120.5,77.45,60.15,49.79,40.03,23.01,38.3
90,369.34,369.87,352.38,191.12,120.39,77.39,60.12,49.84,40.03,23.11,38.23
91,369.47,369.72,352.06,190.99,120.28,77.32,60.06,49.8,40.03,22.98,38.18
92,369.59,369.66,351.73,190.91,120.16,77.27,60.02,49.86,40.02,23.05,38.12
93,369.72,369.67,351.55,190.98,120.1,77.25,59.99,49.96,40.03,23.05,38.07
94,369.69,369.56,351.21,191.04,120.0,77.23,60.04,50.06,40.1,23.02,38.01
95,369.49,369.4,350.95,191.11,119.96,77.22,60.12,50.14,40.2,22.92,37.98
96,369.32,369.3,350.78,191.24,119.98,77.21,60.19,50.27,40.27,22.97,37.96
97,369.16,369.2,350.55,191.29,120.01,77.21,60.27,50.39,40.34,23.0,37.94
98,369.03,369.11,350.35,191.44,120.05,77.23,60.34,50.48,40.41,23.01,37.94
99,368.87,369.03,350.14,191.62,120.14,77.26,60.46,50.59,40.48,22.98,37.94
100,368.72,368.94,349.83,191.73,120.25,77.28,60.58,50.68,40.56,22.88,37.94
101,368.56,368.87,349.49,191.88,120.35,77.32,60.7,50.77,40.61,22.84,37.95
102,368.4,368.75,349.1,191.82,120.42,77.35,60.75,50.74,40.63,22.93,37.94
103,368.23,368.5,348.69,191.74,120.51,77.39,60.78,50.66,40.6,22.95,37.93
104,368.03,368.26,348.33,191.73,120.61,77.44,60.83,50.64,40.53,22.98,37.91
105,367.9,368.15,348.1,191.73,120.69,77.48,60.85,50.61,40.5,22.89,37.88
106,367.75,368.03,347.81,191.58,120.7,77.5,60.84,50.53,40.45,22.96,37.85
107,367.62,367.92,347.63,191.52,120.75,77.51,60.84,50.54,40.4,23.01,37.77
108,367.48,367.83,347.39,191.59,120.82,77.54,60.85,50.53,40.38,23.0,37.81
109,367.33,367.73,347.15,191.64,120.87,77.57,60.87,50.49,40.35,22.97,37.78
110,367.2,367.61,347.06,191.62,120.91,77.59,60.88,50.45,40.32,22.98,37.77
111,367.06,367.47,347.02,191.62,120.95,77.62,60.85,50.45,40.32,22.92,37.75
112,366.88,367.25,347.39,191.65,121.05,77.65,60.84,50.42,40.29,23.04,37.72
113,366.78,367.0,347.47,191.71,121.17,77.67,60.81,50.35,40.29,22.96,37.69
114,366.79,366.85,347.48,191.77,121.25,77.68,60.78,50.26,40.28,22.89,37.68
115,366.86,366.72,347.53,191.8,121.35,77.71,60.8,50.25,40.27,22.87,37.67
116,366.89,366.6,347.44,191.82,121.44,77.73,60.83,50.27,40.27,22.94,37.65
117,366.92,366.47,347.43,191.83,121.52,77.77,60.88,50.3,40.3,22.91,37.65
118,366.93,366.32,347.39,191.76,121.58,77.8,60.88,50.32,40.3,22.81,37.64
119,366.94,366.18,347.31,191.7,121.64,77.83,60.92,50.36,40.35,22.62,37.62
120,366.94,366.07,347.2,191.65,121.71,77.85,60.92,50.39,40.38,22.62,37.62
121,366.91,365.9,346.86,191.7,121.78,77.87,60.93,50.44,40.46,22.73,37.64
122,366.85,365.74,346.39,191.7,121.85,77.91,60.99,50.59,40.56,22.79,37.65
123,366.82,365.66,346.0,191.67,121.88,77.96,61.02,50.69,40.62,22.89,37.66
124,366.77,365.57,345.82,191.69,121.94,78.0,61.02,50.64,40.63,22.96,37.68
125,366.69,365.42,345.62,191.78,122.01,78.04,61.05,50.64,40.64,23.09,37.69
126,366.58,365.29,345.41,191.84,122.08,78.08,61.08,50.69,40.6,23.07,37.68
127,366.47,365.15,345.38,191.93,122.15,78.12,61.07,50.7,40.57,23.0,37.69
128,366.36,364.99,345.43,191.92,122.22,78.16,61.09,50.69,40.57,22.92,37.69
129,366.27,364.85,345.4,191.88,122.26,78.19,61.11,50.73,40.58,22.87,37.67
130,366.11,364.63,345.42,191.86,122.35,78.21,61.17,50.72,40.64,22.79,37.69
131,365.97,364.41,345.42,191.78,122.41,78.25,61.18,50.71,40.66,22.76,37.7
132,365.86,364.28,345.39,191.78,122.47,78.3,61.2,50.71,40.64,22.73,37.73
133,365.76,364.15,345.21,191.87,122.55,78.34,61.25,50.76,40.64,22.8,37.74
134,365.63,364.02,345.21,191.96,122.63,78.4,61.3,50.79,40.65,22.73,37.74
135,365.54,363.92,345.21,191.97,122.69,78.46,61.36,50.87,40.69,22.8,37.76
136,365.45,363.81,345.15,191.98,122.75,78.49,61.4,50.88,40.72,22.87,37.79
137,365.36,363.68,345.03,191.94,122.79,78.53,61.44,50.92,40.73,22.72,37.8
138,365.25,363.58,345.12,191.91,122.83,78.57,61.46,50.89,40.74,22.79,37.82
139,365.08,363.39,345.04,191.9,122.86,78.6,61.46,50.89,40.76,22.85,37.85
140,364.92,363.24,344.88,191.96,122.96,78.65,61.46,50.9,40.78,22.8,37.88
141,364.85,363.14,344.7,192.07,123.04,78.71,61.5,50.91,40.78,22.94,37.9
142,364.78,363.04,344.56,192.19,123.13,78.76,61.53,50.92,40.76,22.65,37.91
143,364.71,362.95,344.24,192.34,123.25,78.77,61.55,50.97,40.76,22.77,37.91
144,364.62,362.85,343.85,192.44,123.37,78.87,61.53,51.01,40.79,22.81,37.91
145,364.55,362.74,343.51,192.52,123.48,78.94,61.5,50.97,40.8,22.89,37.93
146,364.47,362.63,343.35,192.6,123.58,78.99,61.53,50.96,40.78,23.05,37.94
147,364.38,362.54,343.16,192.76,123.69,79.04,61.54,50.89,40.76,23.01,37.95
148,364.21,362.35,343.09,192.88,123.86,79.09,61.57,50.86,40.7,22.98,37.96
149,364.03,362.13,343.09,192.94,124.03,79.13,61.6,50.82,40.66,22.9,37.96
150,363.9,362.0,343.03,193.0,124.16,79.18,61.63,50.85,40.63,22.89,37.96
151,363.8,361.88,342.92,192.95,124.23,79.21,61.62,50.85,40.65,22.82,37.96
152,363.69,361.77,342.84,192.96,124.33,79.24,61.61,50.83,40.7,22.85,37.96
153,363.59,361.65,342.68,193.06,124.41,79.29,61.59,50.83,40.7,22.87,37.97
154,363.51,361.55,342.45,193.2,124.51,79.33,61.59,50.83,40.72,22.78,37.98
155,363.42,361.43,342.24,193.37,124.62,79.37,61.55,50.81,40.74,22.79,37.99
156,363.32,361.33,342.0,193.48,124.71,79.4,61.55,50.79,40.77,22.81,38.0
157,363.22,361.2,341.81,193.58,124.83,79.43,61.54,50.74,40.83,22.78,38.01
158,363.13,361.1,341.64,193.61,124.93,79.46,61.53,50.69,40.84,22.77,38.03
159,363.05,361.02,341.71,193.66,125.0,79.49,61.51,50.62,40.83,22.69,38.05
160,362.98,360.88,341.73,193.74,125.05,79.51,61.48,50.64,40.82,22.8,38.05
161,362.89,360.75,341.77,193.81,125.12,79.54,61.49,50.63,40.81,22.73,38.08
162,362.77,360.62,341.66,193.86,125.17,79.57,61.47,50.62,40.8,22.91,37.93
163,362.65,360.51,341.54,193.95,125.26,79.59,61.44,50.66,40.8,22.73,38.09
164,362.55,360.41,341.26,194.04,125.33,79.62,61.48,50.69,40.79,22.81,38.08
165,362.45,360.32,340.91,193.98,125.37,79.66,61.44,50.76,40.81,23.02,38.09
166,362.35,360.2,340.61,193.85,125.43,79.71,61.57,50.9,40.85,22.9,38.1
167,362.26,360.08,340.31,193.77,125.5,79.76,61.61,50.89,40.83,22.78,38.1
168,362.19,359.99,340.04,193.77,125.58,79.82,61.6,50.82,40.77,22.78,38.09
169,362.15,359.9,339.81,193.86,125.69,79.87,61.67,50.79,40.71,22.86,38.08
170,362.09,359.81,339.6,193.89,125.76,79.93,61.69,50.78,40.64,23.0,38.07
171,362.04,359.73,339.43,193.94,125.84,79.99,61.7,50.66,40.55,23.07,38.05
172,361.98,359.64,339.27,193.92,125.93,80.01,61.67,50.57,40.46,22.95,38.02
173,361.92,359.56,339.07,193.91,126.01,80.03,61.71,50.57,40.41,22.98,38.0
174,361.95,359.66,338.86,193.9,126.08,80.08,61.89,50.77,40.49,23.12,37.99
175,362.05,359.87,338.52,194.01,126.22,80.16,62.27,51.07,40.79,22.91,38.04
176,362.18,360.12,338.46,194.14,126.38,80.25,62.72,51.38,41.16,22.82,38.14
177,362.28,360.31,338.55,194.21,126.5,80.37,62.99,51.68,41.41,22.81,38.23
178,362.4,360.48,338.7,194.38,126.66,80.49,63.28,51.97,41.68,22.94,38.34
179,362.5,360.63,338.87,194.5,126.82,80.59,63.58,52.17,41.93,22.8,38.46
180,362.6,360.75,339.03,194.65,127.01,80.75,63.85,52.38,42.18,22.78,38.61
181,362.66,360.84,339.15,194.87,127.22,80.9,64.11,52.63,42.44,22.93,38.76
182,362.73,360.94,339.27,195.05,127.43,81.07,64.39,52.9,42.69,22.84,38.92
183,362.77,361.01,339.34,195.22,127.63,81.26,64.67,53.22,42.93,22.9,39.11
184,362.89,361.19,339.39,195.33,127.94,81.45,65.12,53.5,43.28,22.83,39.42
185,363.01,361.41,339.4,195.49,128.26,81.65,65.57,53.82,43.63,22.74,39.75
186,363.1,361.61,339.42,195.67,128.53,81.81,65.84,54.04,43.88,22.79,39.99
187,363.18,361.8,339.41,195.98,128.8,82.06,66.07,54.29,44.11,22.71,40.24
188,363.27,361.96,339.4,196.3,129.09,82.31,66.29,54.48,44.33,22.72,40.52
189,363.35,362.12,339.45,196.58,129.36,82.55,66.53,54.67,44.54,22.78,40.8
190,363.46,362.26,339.54,196.9,129.65,82.8,66.81,54.87,44.73,22.63,41.12
191,363.56,362.4,339.67,197.22,129.92,83.05,67.07,55.06,44.94,22.73,41.44
192,363.67,362.53,339.79,197.6,130.21,83.32,67.35,55.35,45.15,22.66,41.77
193,363.82,362.68,339.96,197.84,130.65,83.5,67.82,55.53,45.52,22.76,42.31
194,363.97,362.81,340.1,198.12,131.09,83.77,68.23,55.8,45.87,22.77,42.89
195,364.09,362.91,340.2,198.38,131.38,84.04,68.51,56.05,46.13,22.92,43.28
196,364.2,363.04,340.29,198.6,131.64,84.3,68.79,56.3,46.38,22.88,43.68
197,364.31,363.18,340.38,198.86,131.93,84.57,69.02,56.51,46.62,22.71,44.09
198,364.41,363.32,340.49,199.13,132.22,84.82,69.24,56.72,46.85,22.76,44.54
199,364.48,363.45,340.61,199.34,132.49,85.07,69.48,57.05,47.12,22.68,44.97
200,364.56,363.54,340.73,199.52,132.78,85.26,69.73,57.31,47.41,22.73,45.43
201,364.64,363.62,340.82,199.84,133.11,85.56,70.0,57.7,47.74,22.54,45.88
202,364.74,363.73,340.92,200.17,133.62,85.86,70.39,58.03,48.24,22.42,46.62
203,364.86,363.85,341.01,200.44,134.12,86.17,70.85,58.39,48.75,22.37,47.39
204,364.96,363.92,341.1,200.7,134.41,86.49,71.21,58.73,49.07,22.64,47.92
205,365.06,363.98,341.21,200.97,134.72,86.81,71.51,59.05,49.41,22.66,48.46
206,365.13,364.05,341.3,201.21,135.03,87.13,71.75,59.27,49.72,22.75,49.0
207,365.24,364.14,341.4,201.31,135.33,87.32,71.94,59.33,49.99,22.55,49.56
208,365.32,364.24,341.46,201.43,135.61,87.6,72.1,59.49,50.23,22.56,50.11
209,365.38,364.32,341.51,201.54,135.86,87.87,72.25,59.6,50.45,22.71,50.66
210,365.44,364.41,341.55,201.73,136.07,88.12,72.46,59.8,50.69,22.64,51.22
211,365.52,364.55,341.6,201.93,136.42,88.37,72.74,59.99,51.1,22.71,52.05
212,365.61,364.69,341.7,202.15,136.78,88.63,73.02,60.18,51.49,22.76,52.89
213,365.67,364.76,341.76,202.4,137.01,88.91,73.26,60.45,51.78,22.81,53.46
214,365.74,364.84,341.85,202.59,137.23,89.1,73.55,60.67,52.09,22.82,54.04
215,365.81,364.91,341.94,202.72,137.44,89.39,73.84,61.06,52.43,22.69,54.63
216,365.88,364.99,342.03,202.83,137.65,89.69,74.13,61.43,52.8,22.66,55.21
217,365.97,365.07,342.12,202.91,137.85,90.0,74.37,61.75,53.17,22.8,55.81
218,366.07,365.16,342.19,203.05,138.08,90.3,74.59,61.93,53.5,22.85,56.39
219,366.13,365.25,342.27,203.18,138.34,90.49,74.78,62.02,53.8,22.83,57.01
220,366.21,365.35,342.39,203.39,138.7,90.78,75.1,62.23,54.25,22.75,57.91
221,366.26,365.42,342.51,203.66,139.05,91.08,75.46,62.55,54.76,22.57,58.81
222,366.29,365.45,342.57,203.87,139.27,91.4,75.75,62.89,55.14,22.78,59.42
223,366.35,365.51,342.62,204.15,139.53,91.72,76.04,63.29,55.56,22.89,60.05
224,366.45,365.56,342.66,204.52,139.81,92.06,76.32,63.66,55.95,22.82,60.66
225,366.53,365.6,342.69,204.82,140.09,92.39,76.64,64.05,56.36,22.82,61.29
226,366.61,365.64,342.72,205.19,140.37,92.73,76.99,64.49,56.79,22.98,61.92
227,366.67,365.68,342.75,205.6,140.62,93.07,77.31,64.91,57.23,23.0,62.55
228,366.73,365.72,342.79,205.84,140.89,93.3,77.63,65.09,57.67,23.02,63.19
229,366.81,365.83,342.89,206.05,141.31,93.59,77.92,65.24,58.25,22.93,64.15
230,366.87,366.0,343.0,206.18,141.72,93.87,78.24,65.42,58.79,22.94,65.1
231,366.9,366.09,343.1,206.31,141.99,94.15,78.44,65.61,59.14,22.91,65.74
232,366.93,366.16,343.2,206.4,142.25,94.43,78.6,65.74,59.47,23.04,66.37
233,366.96,366.25,343.28,206.55,142.49,94.67,78.8,65.92,59.79,23.04,67.0
234,366.99,366.32,343.39,206.7,142.73,94.95,79.01,66.15,60.12,23.17,67.62
235,367.01,366.4,343.51,206.87,143.01,95.14,79.25,66.39,60.49,23.16,68.22
236,367.04,366.47,343.61,207.16,143.25,95.46,79.48,66.68,60.88,23.02,68.84
237,367.07,366.52,343.69,207.4,143.5,95.74,79.67,66.94,61.24,23.18,69.44
238,367.13,366.63,343.82,207.55,143.86,96.02,79.9,67.03,61.69,23.07,70.36
239,367.2,366.73,343.94,207.79,144.22,96.26,80.09,67.09,62.08,22.94,71.27
240,367.25,366.79,344.04,207.98,144.47,96.5,80.21,67.14,62.33,22.92,71.85
241,367.3,366.84,344.11,208.12,144.67,96.73,80.36,67.28,62.57,22.93,72.42
242,367.36,366.9,344.19,208.21,144.9,96.89,80.53,67.45,62.84,22.93,72.98
243,367.41,366.93,344.27,208.22,145.09,97.13,80.64,67.59,63.1,22.93,73.55
244,367.47,366.97,344.35,208.3,145.29,97.37,80.75,67.71,63.35,22.99,74.1
245,367.53,367.03,344.47,208.53,145.52,97.62,80.93,67.98,63.62,23.12,74.66
246,367.59,367.08,344.53,208.79,145.72,97.88,81.13,68.24,63.94,23.04,75.18
247,367.68,367.16,344.64,208.98,146.03,98.15,81.41,68.46,64.43,23.0,76.01
248,367.75,367.25,344.71,209.12,146.34,98.41,81.76,68.71,64.91,23.1,76.83
249,367.78,367.3,344.75,209.24,146.55,98.58,81.97,68.94,65.25,23.13,77.35
250,367.8,367.34,344.79,209.38,146.75,98.86,82.17,69.29,65.62,23.1,77.89
251,367.86,367.39,344.86,209.55,146.96,99.14,82.4,69.65,66.01,23.17,78.42
252,367.9,367.43,344.91,209.61,147.16,99.4,82.67,69.97,66.42,23.11,78.97
253,367.94,367.48,344.97,209.61,147.37,99.64,82.85,70.14,66.78,22.89,79.52
254,367.99,367.53,345.06,209.72,147.56,99.88,83.01,70.28,67.08,22.95,80.06
255,368.06,367.58,345.15,209.91,147.75,100.1,83.17,70.41,67.35,22.81,80.6
256,368.16,367.64,345.26,210.07,148.0,100.24,83.48,70.59,67.78,22.94,81.38
257,368.26,367.72,345.34,210.24,148.27,100.49,83.83,70.85,68.3,22.78,82.17
258,368.3,367.78,345.35,210.42,148.43,100.74,83.93,70.99,68.61,22.87,82.7
259,368.33,367.84,345.34,210.44,148.58,100.96,84.06,71.12,68.93,22.86,83.21
260,368.35,367.89,345.36,210.45,148.76,101.19,84.19,71.31,69.29,22.87,83.73
261,368.37,367.95,345.38,210.51,148.91,101.4,84.27,71.42,69.57,22.85,84.23
262,368.37,367.98,345.39,210.57,149.06,101.6,84.31,71.5,69.85,22.77,84.73
263,368.4,368.02,345.45,210.56,149.18,101.73,84.4,71.56,70.1,22.83,85.23
264,368.46,368.07,345.54,210.61,149.29,101.9,84.5,71.69,70.35,22.79,85.73
265,368.55,368.14,345.72,210.8,149.45,102.08,84.71,71.88,70.73,22.78,86.45
266,368.57,368.22,345.84,210.89,149.6,102.25,84.89,72.02,71.11,22.86,87.15
267,368.58,368.26,345.87,210.86,149.7,102.44,85.01,72.19,71.38,22.73,87.62
268,368.6,368.3,345.89,210.97,149.8,102.64,85.27,72.51,71.69,22.73,88.09
269,368.62,368.34,345.96,211.11,149.86,102.83,85.52,72.81,72.05,22.79,88.56
270,368.64,368.4,346.01,211.24,149.9,102.97,85.79,73.01,72.42,22.68,89.04
271,368.67,368.45,346.07,211.48,149.98,103.17,86.04,73.31,72.81,22.84,89.52
272,368.7,368.47,346.12,211.61,150.08,103.36,86.27,73.56,73.16,22.87,90.0
