Time,TC1_tip,TC_9.5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
0,377.23,377.03,378.2,372.84,182.65,69.35,57.5,369.04,378.33,273.7,122.06,26.1,27.39,377.24
1,377.21,376.83,378.22,373.03,182.65,69.34,57.53,369.04,378.34,273.69,122.12,26.11,27.39,377.2
2,377.16,376.77,378.22,373.22,182.66,69.34,57.54,369.03,378.34,273.67,122.17,26.1,27.39,377.19
3,377.11,377.41,378.22,373.33,182.69,69.32,57.55,369.02,378.35,273.63,122.04,26.11,27.39,377.16
4,377.06,377.11,378.22,373.45,182.69,69.3,57.55,369.01,378.39,273.57,121.94,26.11,27.39,377.13
5,377.02,376,378.23,373.59,182.67,69.29,57.56,369,378.43,273.5,121.92,26.1,27.38,377.12
6,377,375.38,378.23,373.7,182.57,69.26,57.56,368.99,378.54,273.47,121.88,26.11,27.39,377.08
7,376.97,376.03,378.22,373.8,182.34,69.2,57.56,368.98,378.62,273.46,121.8,26.11,27.39,377.04
8,376.94,377.98,378.21,373.9,182.28,69.12,57.56,368.97,378.67,273.49,121.62,26.11,27.4,376.99
9,376.9,378.39,378.2,373.99,182.27,69.04,57.55,368.95,378.71,273.5,121.48,26.11,27.38,376.95
10,376.83,378.86,378.18,374.12,182.23,68.95,57.54,368.93,378.76,273.53,121.45,26.11,27.38,376.94
11,376.77,378.91,378.16,374.21,182.15,68.86,57.53,368.92,378.82,273.55,121.43,26.11,27.39,376.93
12,376.71,378.73,378.14,374.27,182.09,68.8,57.51,368.91,378.87,273.58,121.31,26.11,27.39,376.88
13,376.65,379.49,378.11,374.33,181.91,68.74,57.5,368.88,378.89,273.54,121.15,26.12,27.4,376.82
14,376.57,379.24,378.09,374.38,181.9,68.71,57.48,368.87,378.88,273.47,121.17,26.12,27.38,376.79
15,376.5,378.34,378.09,374.45,181.98,68.73,57.48,368.86,378.86,273.41,121.28,26.11,27.39,376.78
16,376.4,378.11,378.07,374.51,182.11,68.77,57.46,368.84,378.86,273.39,121.36,26.13,27.38,376.76
17,376.3,377.65,378.03,374.55,182.22,68.82,57.47,368.83,378.85,273.36,121.44,26.12,27.39,376.75
18,376.2,378.37,378.02,374.59,182.33,68.9,57.47,368.8,378.87,273.34,121.56,26.11,27.38,376.76
19,376.04,378.88,377.98,374.64,182.29,68.97,57.48,368.79,378.96,273.33,121.59,26.11,27.38,376.78
20,375.89,379.06,377.96,374.71,182.08,68.99,57.47,368.77,379.07,273.31,121.45,26.11,27.38,376.8
21,375.78,378.98,377.93,374.76,181.94,68.97,57.46,368.75,379.11,273.32,121.31,26.11,27.38,376.8
22,375.69,378.77,377.91,374.79,181.91,68.99,57.47,368.73,379.16,273.4,121.36,26.11,27.38,376.79
23,375.61,378.68,377.89,374.83,181.89,69,57.46,368.71,379.19,273.48,121.36,26.1,27.37,376.77
24,375.53,378.71,377.89,374.86,181.91,68.99,57.47,368.69,379.2,273.55,121.41,26.11,27.38,376.78
25,375.44,377.96,377.87,374.9,181.96,69.01,57.47,368.66,379.25,273.57,121.49,26.11,27.38,376.77
26,375.34,377.03,377.87,374.93,182.02,69.04,57.47,368.65,379.28,273.6,121.51,26.11,27.38,376.77
27,375.26,376.23,377.88,374.99,182.03,69.05,57.48,368.64,379.31,273.61,121.45,26.11,27.38,376.77
28,375.12,376.11,377.89,375.11,181.93,69.04,57.48,368.6,379.33,273.65,121.47,26.11,27.38,376.73
29,375,376.11,377.91,375.22,182,69.03,57.49,368.57,379.33,273.71,121.5,26.11,27.38,376.68
30,374.95,377.93,377.91,375.26,182.05,69.05,57.5,368.56,379.34,273.75,121.48,26.11,27.38,376.68
31,374.9,379.97,377.93,375.32,182.13,69.08,57.52,368.56,379.38,273.78,121.46,26.12,27.39,376.71
32,374.84,380.75,377.93,375.37,182.22,69.12,57.54,368.55,379.37,273.8,121.4,26.11,27.38,376.79
33,374.8,380.44,377.98,375.42,182.16,69.12,57.54,368.55,379.39,273.8,121.32,26.11,27.38,376.9
34,374.88,379.58,378.01,375.42,182.1,69.11,57.56,368.58,379.43,273.84,121.17,26.12,27.39,376.93
35,375.05,379.09,378.04,375.36,182.06,69.06,57.56,368.62,379.38,273.88,121,26.11,27.39,376.96
36,375.29,378.48,378.05,375.28,181.99,69.02,57.56,368.67,379.41,273.88,120.86,26.11,27.38,377.01
37,375.62,377.74,378.23,375.15,181.94,68.97,57.56,368.77,379.43,273.92,120.72,26.11,27.39,377.18
38,375.99,377.59,378.38,375.01,181.99,68.94,57.56,368.9,379.41,273.95,120.69,26.12,27.38,377.46
39,376.31,377.47,378.45,374.9,182.01,68.9,57.55,369,379.39,274.01,120.67,26.11,27.38,377.61
40,376.62,377.22,378.54,374.77,182.05,68.87,57.55,369.09,379.38,274.06,120.67,26.11,27.38,377.74
41,376.86,377.89,378.62,374.66,182.02,68.85,57.53,369.19,379.34,274.1,120.73,26.11,27.38,377.81
42,377.06,378.05,378.69,374.55,182.01,68.83,57.53,369.3,379.34,274.12,120.71,26.11,27.38,377.92
43,377.29,377.75,378.77,374.47,182.03,68.85,57.53,369.41,379.31,274.13,120.78,26.11,27.38,378.03
44,377.51,377.49,378.84,374.38,182.13,68.88,57.53,369.52,379.28,274.13,120.9,26.12,27.39,378.07
45,377.69,377.08,378.9,374.29,182.23,68.9,57.53,369.64,379.25,274.12,120.93,26.12,27.39,378.08
46,377.91,377.1,378.97,374.17,182.24,68.97,57.54,369.81,379.21,274.13,120.91,26.12,27.39,378.21
47,378.18,377.44,379.01,374.07,182.17,69.04,57.55,369.98,379.17,274.15,120.93,26.12,27.39,378.36
48,378.34,377.69,379.05,374,182.07,69.07,57.56,370.12,379.14,274.13,120.87,26.13,27.4,378.47
49,378.48,377.99,379.11,373.97,181.94,69.06,57.57,370.24,379.15,274.11,120.84,26.13,27.4,378.53
50,378.55,377.93,379.14,373.92,181.86,69.07,57.57,370.37,379.11,274.09,120.85,26.13,27.4,378.63
51,378.62,377.45,379.19,373.88,181.92,69.08,57.56,370.48,379.11,274.09,120.96,26.13,27.41,378.67
52,378.71,378,379.23,373.85,182.05,69.13,57.57,370.57,379.08,274.03,121.06,26.13,27.41,378.71
53,378.73,379,379.25,373.81,182.07,69.16,57.58,370.65,379.05,273.96,121.09,26.13,27.4,378.71
54,378.73,379.52,379.27,373.77,181.99,69.17,57.59,370.72,379.03,273.91,121.04,26.13,27.41,378.71
55,378.67,380.44,379.26,373.73,181.94,69.12,57.58,370.78,379.02,273.87,121.13,26.13,27.41,378.69
56,378.64,381.09,379.25,373.7,181.9,69.13,57.57,370.84,379.06,273.85,121.23,26.13,27.41,378.66
57,378.66,379.88,379.25,373.73,181.96,69.17,57.58,370.87,379.2,273.81,121.32,26.13,27.42,378.65
58,378.67,378.76,379.28,373.79,182.03,69.22,57.6,370.91,379.33,273.74,121.4,26.13,27.41,378.6
59,378.69,379.08,379.33,373.87,182,69.25,57.61,370.93,379.45,273.68,121.4,26.14,27.41,378.57
60,378.67,380.07,379.38,373.92,182.07,69.23,57.61,370.94,379.53,273.6,121.37,26.13,27.41,378.59
61,378.66,380.58,379.42,373.93,182.22,69.22,57.62,370.95,379.53,273.53,121.36,26.13,27.41,378.62
62,378.65,380.46,379.44,373.91,182.29,69.18,57.61,370.94,379.49,273.5,121.41,26.12,27.4,378.62
63,378.65,381.2,379.46,373.85,182.32,69.16,57.61,370.93,379.43,273.49,121.48,26.13,27.41,378.61
64,378.64,381.86,379.47,373.76,182.07,69.15,57.61,370.92,379.35,273.48,121.44,26.14,27.41,378.59
65,378.62,381.02,379.47,373.69,181.74,69.11,57.61,370.91,379.31,273.47,121.36,26.13,27.42,378.58
66,378.6,379.31,379.47,373.71,181.75,69.1,57.6,370.9,379.35,273.5,121.32,26.14,27.42,378.6
67,378.58,378.7,379.47,373.73,181.83,69.09,57.6,370.9,379.4,273.53,121.37,26.14,27.41,378.6
68,378.56,379.31,379.47,373.77,181.91,69.11,57.61,370.89,379.44,273.58,121.42,26.14,27.41,378.56
69,378.52,379.48,379.46,373.81,182.09,69.13,57.61,370.88,379.49,273.63,121.54,26.14,27.42,378.46
70,378.49,379.43,379.45,373.86,182.2,69.18,57.63,370.88,379.54,273.65,121.57,26.13,27.41,378.38
71,378.46,378.74,379.43,373.9,182.22,69.22,57.63,370.88,379.58,273.64,121.47,26.14,27.4,378.3
72,378.43,378.96,379.41,373.94,182.05,69.23,57.63,370.87,379.61,273.58,121.31,26.13,27.41,378.24
73,378.4,379.47,379.4,374.04,181.84,69.26,57.63,370.86,379.65,273.55,121.19,26.14,27.4,378.26
74,378.35,379.91,379.38,374.14,181.81,69.3,57.65,370.85,379.68,273.51,121.2,26.14,27.4,378.21
75,378.31,379.94,379.35,374.28,181.86,69.33,57.64,370.82,379.69,273.52,121.23,26.14,27.4,378.15
76,378.27,379.54,379.32,374.42,181.98,69.38,57.65,370.81,379.75,273.58,121.33,26.14,27.39,378.08
77,378.23,379.55,379.31,374.58,182.06,69.45,57.68,370.79,379.85,273.64,121.43,26.14,27.39,378.01
78,378.18,380.13,379.29,374.73,182.15,69.5,57.68,370.77,379.94,273.68,121.51,26.15,27.38,377.91
79,378.11,380.52,379.28,374.88,182.2,69.54,57.7,370.76,380.01,273.72,121.58,26.14,27.38,377.89
80,378.04,379.23,379.26,375.01,182.21,69.55,57.71,370.74,380.09,273.73,121.59,26.14,27.38,377.89
81,377.96,378.51,379.24,375.11,182.12,69.54,57.72,370.71,380.2,273.74,121.49,26.14,27.38,377.87
82,377.83,378.96,379.23,375.21,182.05,69.5,57.73,370.69,380.33,273.8,121.45,26.14,27.37,377.81
83,377.69,379.37,379.22,375.27,182.11,69.51,57.77,370.66,380.43,273.84,121.46,26.15,27.38,377.79
84,377.6,378.87,379.2,375.28,182.12,69.5,57.77,370.63,380.46,273.83,121.46,26.14,27.38,377.79
85,377.51,377.62,379.21,375.28,182.13,69.48,57.78,370.62,380.46,273.81,121.48,26.15,27.37,377.83
86,377.4,378.24,379.2,375.31,182.15,69.43,57.78,370.59,380.43,273.79,121.54,26.14,27.38,377.89
87,377.31,379.2,379.22,375.38,182.18,69.36,57.78,370.58,380.41,273.84,121.54,26.16,27.39,377.98
88,377.22,379.74,379.23,375.45,182.08,69.3,57.79,370.56,380.4,273.91,121.5,26.15,27.38,378.04
89,377.12,380.1,379.23,375.51,182.01,69.24,57.8,370.54,380.39,273.98,121.4,26.14,27.38,378.07
90,377.04,379.32,379.25,375.58,181.9,69.21,57.81,370.52,380.39,274.03,121.25,26.15,27.39,378.09
91,376.91,379.37,379.26,375.68,181.7,69.18,57.81,370.49,380.4,274.04,121.14,26.15,27.38,378.09
92,376.8,379.37,379.26,375.75,181.54,69.15,57.81,370.45,380.45,274.07,121.08,26.15,27.38,378.06
93,376.72,380.54,379.26,375.78,181.59,69.15,57.81,370.44,380.49,274.14,121.12,26.14,27.38,378.03
94,376.68,382.63,379.24,375.8,181.51,69.15,57.81,370.43,380.5,274.25,121.23,26.16,27.4,378.01
95,376.67,382.41,379.18,375.83,181.46,69.18,57.83,370.44,380.51,274.46,121.28,26.16,27.4,377.97
96,376.7,381.46,379.03,375.84,181.56,69.21,57.84,370.49,380.47,274.75,121.34,26.16,27.4,377.9
97,376.77,380.37,378.93,375.86,181.62,69.23,57.85,370.54,380.39,274.95,121.32,26.16,27.4,377.79
98,376.87,379.85,378.89,375.9,181.62,69.23,57.85,370.58,380.4,275.06,121.25,26.16,27.4,377.91
99,377.03,379.73,378.89,375.92,181.7,69.22,57.85,370.64,380.45,275.16,121.2,26.16,27.39,378.13
100,377.36,379.11,379.03,375.92,181.96,69.2,57.86,370.77,380.49,275.18,121.21,26.15,27.4,378.48
101,377.88,379.11,379.22,375.86,182.17,69.21,57.85,370.91,380.46,275.16,121.24,26.16,27.4,378.64
102,378.19,378.92,379.33,375.78,182.27,69.28,57.87,371.03,380.42,275.14,121.28,26.16,27.41,378.81
103,378.46,378.69,379.47,375.71,182.2,69.32,57.9,371.13,380.45,275.08,121.17,26.15,27.4,378.99
104,378.73,378.85,379.61,375.61,182.2,69.33,57.92,371.26,380.46,275.05,121.13,26.16,27.41,379.19
105,378.94,378.86,379.73,375.53,182.25,69.33,57.94,371.36,380.44,275.03,121.1,26.15,27.41,379.3
106,379.12,378.7,379.82,375.42,182.33,69.32,57.94,371.46,380.4,275.06,121.08,26.16,27.41,379.43
107,379.26,378.5,379.9,375.32,182.3,69.29,57.95,371.58,380.36,275.11,121.01,26.16,27.41,379.59
108,379.34,378.09,379.99,375.24,182.27,69.25,57.95,371.69,380.35,275.2,120.99,26.16,27.41,379.68
109,379.54,378.87,380.11,375.15,182.26,69.25,57.96,371.87,380.34,275.33,121.02,26.16,27.41,379.77
110,379.68,378.86,380.19,375.08,182.14,69.21,57.95,372.04,380.37,275.45,120.91,26.16,27.41,379.86
111,379.77,378.83,380.24,375.05,182.23,69.19,57.94,372.16,380.39,275.53,120.95,26.17,27.42,379.91
112,379.82,378.67,380.3,375.04,182.39,69.19,57.93,372.27,380.38,275.54,121.05,26.16,27.4,379.99
113,379.84,379.07,380.36,375.01,182.63,69.22,57.93,372.38,380.36,275.53,121.18,26.16,27.4,380.06
114,379.88,379.05,380.41,375,182.78,69.25,57.92,372.47,380.37,275.56,121.33,26.16,27.39,380.1
115,379.95,379.39,380.48,374.97,182.92,69.28,57.92,372.55,380.42,275.58,121.46,26.16,27.39,380.12
116,380.02,380.67,380.52,374.97,183.08,69.32,57.91,372.61,380.47,275.62,121.59,26.17,27.39,380.13
117,380.05,381.39,380.56,374.95,183.22,69.38,57.92,372.66,380.48,275.62,121.62,26.17,27.39,380.11
118,380.03,380.97,380.59,374.93,183.22,69.46,57.93,372.69,380.46,275.58,121.7,26.17,27.38,380.1
119,380.02,381.25,380.6,374.86,183.25,69.55,57.95,372.72,380.42,275.54,121.88,26.16,27.39,380.07
120,380.04,381.29,380.61,374.81,183.3,69.59,57.95,372.72,380.38,275.49,122,26.16,27.37,380.08
121,380.07,381.18,380.62,374.78,183.35,69.61,57.94,372.72,380.42,275.41,122.08,26.16,27.37,380.09
122,380.09,381.65,380.63,374.79,183.35,69.65,57.94,372.73,380.54,275.28,122.14,26.16,27.37,380.1
123,380.09,382.25,380.63,374.82,183.34,69.67,57.95,372.73,380.62,275.21,122.2,26.16,27.37,380.07
124,380.1,382.45,380.65,374.87,183.34,69.7,57.95,372.71,380.67,275.21,122.23,26.17,27.38,380.05
125,380.08,381.75,380.67,374.93,183.41,69.72,57.96,372.71,380.73,275.18,122.22,26.17,27.38,380.02
