Condition,RMSE,MAE,R2
h6_flux88_abs0_surf0_689s - Sheet3,1.2398252487182617,0.9661804437637329,0.9087041236910697
h6_flux88_abs0_surf0_689s - Sheet3,1.1428004503250122,0.8986846804618835,0.9212105703349249
h6_flux88_abs0_surf0_689s - Sheet3,1.03848397731781,0.8209198117256165,0.9334154603203152
h6_flux88_abs0_surf0_689s - Sheet3,0.9526251554489136,0.7401062250137329,0.9430830000410847
h6_flux88_abs0_surf0_689s - Sheet3,0.8996250033378601,0.6593475341796875,0.9480259576121014
h6_flux88_abs0_surf0_689s - Sheet3,0.8966741561889648,0.675030529499054,0.9472530309554936
h6_flux88_abs0_surf0_689s - Sheet3,0.9159725904464722,0.7181152105331421,0.9434870974868409
h6_flux88_abs0_surf0_689s - Sheet3,0.9369975924491882,0.7455169558525085,0.939974207911742
h6_flux88_abs0_surf0_689s - Sheet3,0.9567083120346069,0.772564709186554,0.9372920432772763
h6_flux88_abs0_surf0_689s - Sheet3,0.9812914133071899,0.7961517572402954,0.9338191228947087
h6_flux88_abs0_surf0_689s - Sheet3,1.0194284915924072,0.8312042355537415,0.9271495642648425
h6_flux88_abs0_surf0_689s - Sheet3,1.0556529760360718,0.861254870891571,0.9205783728447119
h6_flux88_abs0_surf0_689s - Sheet3,1.0926412343978882,0.8838348388671875,0.91377501263287
h6_flux88_abs0_surf0_689s - Sheet3,1.1156795024871826,0.8971954584121704,0.9097221384591798
h6_flux88_abs0_surf0_689s - Sheet3,1.1410229206085205,0.9202911257743835,0.9046986343447341
h6_flux88_abs0_surf0_689s - Sheet3,1.1758534908294678,0.949859619140625,0.8966152138697494
h6_flux88_abs0_surf0_689s - Sheet3,1.2236000299453735,0.9897705316543579,0.8847382823092186
h6_flux88_abs0_surf0_689s - Sheet3,1.2596737146377563,1.0145111083984375,0.8750083460222066
h6_flux88_abs0_surf0_689s - Sheet3,1.2703635692596436,1.0152435302734375,0.8718114917570807
h6_flux88_abs0_surf0_689s - Sheet3,1.273678183555603,1.016412377357483,0.8710362883709676
h6_flux88_abs0_surf0_689s - Sheet3,1.2625788450241089,1.0125885009765625,0.8744816289241886
h6_flux88_abs0_surf0_689s - Sheet3,1.2574747800827026,1.008148193359375,0.876175754754656
h6_flux88_abs0_surf0_689s - Sheet3,1.2558088302612305,1.0128967761993408,0.8768550203924028
h6_flux88_abs0_surf0_689s - Sheet3,1.259446382522583,1.0369781255722046,0.8758436551675608
h6_flux88_abs0_surf0_689s - Sheet3,1.2663474082946777,1.0677216053009033,0.87403348971883
h6_flux88_abs0_surf0_689s - Sheet3,1.270585536956787,1.0814727544784546,0.8730328131883958
h6_flux88_abs0_surf0_689s - Sheet3,1.2793939113616943,1.096063256263733,0.8704355712377705
h6_flux88_abs0_surf0_689s - Sheet3,1.2720707654953003,1.0972015857696533,0.8732318922398259
